Month,dead birds,mosquito bites,symptoms of west nile virus,west nile
2004-01,0,0,0,5
2004-02,0,0,36,6
2004-03,5,0,0,8
2004-04,0,0,0,14
2004-05,0,0,0,20
2004-06,0,26,96,91
2004-07,4,15,32,75
2004-08,3,7,30,44
2004-09,0,20,57,37
2004-10,0,0,0,16
2004-11,0,0,0,0
2004-12,3,0,0,5
2005-01,0,0,0,6
2005-02,0,0,0,5
2005-03,0,5,0,2
2005-04,0,0,0,7
2005-05,2,5,0,11
2005-06,5,5,0,18
2005-07,2,7,20,41
2005-08,0,9,48,100
2005-09,2,6,54,49
2005-10,0,0,17,13
2005-11,2,0,0,8
2005-12,0,0,0,2
2006-01,0,0,0,2
2006-02,0,0,0,5
2006-03,2,0,0,8
2006-04,5,0,0,2
2006-05,0,3,13,10
2006-06,3,5,14,14
2006-07,0,20,13,27
2006-08,1,18,36,61
2006-09,1,3,37,51
2006-10,1,3,11,17
2006-11,0,3,0,5
2006-12,0,0,0,4
2007-01,7,0,10,3
2007-02,0,0,0,4
2007-03,0,2,0,3
2007-04,1,2,0,5
2007-05,2,11,0,16
2007-06,1,4,0,14
2007-07,1,12,9,22
2007-08,1,35,61,57
2007-09,1,25,37,58
2007-10,0,7,20,9
2007-11,0,0,8,6
2007-12,0,0,0,4
2008-01,1,0,0,2
2008-02,1,2,0,3
2008-03,1,0,0,3
2008-04,1,4,0,3
2008-05,1,3,0,3
2008-06,2,17,25,19
2008-07,1,19,8,19
2008-08,2,16,8,18
2008-09,2,13,15,14
2008-10,1,2,0,8
2008-11,1,0,0,1
2008-12,1,0,0,3
2009-01,1,2,0,3
2009-02,1,2,0,3
2009-03,1,2,0,2
2009-04,1,0,0,4
2009-05,1,7,0,4
2009-06,3,11,15,6
2009-07,1,29,7,5
2009-08,1,21,7,6
2009-09,1,10,11,6
2009-10,1,2,0,5
2009-11,1,2,0,2
2009-12,1,2,0,2
2010-01,1,1,6,3
2010-02,1,3,0,2
2010-03,1,1,0,1
2010-04,1,1,0,4
2010-05,1,7,0,3
2010-06,1,33,17,8
2010-07,1,46,13,14
2010-08,1,81,25,26
2010-09,2,15,19,9
2010-10,1,9,0,3
2010-11,1,3,0,3
2010-12,0,6,6,1
2011-01,100,2,3,2
2011-02,7,2,6,1
2011-03,3,1,0,1
2011-04,2,3,3,2
2011-05,2,8,7,3
2011-06,1,42,16,9
2011-07,1,42,18,12
2011-08,2,54,25,17
2011-09,1,26,6,6
2011-10,1,9,2,2
2011-11,1,3,0,2
2011-12,1,2,0,1
2012-01,2,2,0,1
2012-02,1,1,0,2
2012-03,1,3,2,2
2012-04,1,2,0,2
2012-05,2,11,6,4
2012-06,1,29,6,7
2012-07,1,33,15,15
2012-08,1,30,100,93
2012-09,1,18,85,65
2012-10,1,4,22,16
2012-11,<1,2,8,4
2012-12,1,2,2,2
2013-01,<1,1,2,1
2013-02,1,2,0,1
2013-03,1,3,2,1
2013-04,1,2,0,2
2013-05,1,14,5,4
2013-06,1,37,8,11
2013-07,1,76,24,21
2013-08,1,52,6,14
2013-09,1,24,10,13
2013-10,1,5,2,5
2013-11,<1,4,2,1
2013-12,1,2,2,2
2014-01,1,2,0,1
2014-02,1,2,0,1
2014-03,<1,2,2,1
2014-04,1,2,0,1
2014-05,1,15,2,2
2014-06,1,57,18,12
2014-07,<1,82,33,20
2014-08,1,53,23,16
2014-09,<1,43,22,18
2014-10,1,8,5,5
2014-11,1,4,2,2
2014-12,<1,3,0,2
2015-01,<1,2,5,1
2015-02,1,2,0,2
2015-03,1,4,2,2
2015-04,1,6,0,2
2015-05,1,18,2,3
2015-06,<1,55,10,9
2015-07,1,100,18,32
2015-08,2,43,14,15
2015-09,1,23,9,11
2015-10,<1,5,3,3
2015-11,<1,4,2,2
2015-12,<1,3,0,2
2016-01,1,5,0,1
2016-02,<1,3,2,2
2016-03,<1,4,0,1
2016-04,<1,4,3,1
2016-05,1,14,1,2
2016-06,1,46,3,6
2016-07,<1,40,5,6
2016-08,1,60,5,10
2016-09,1,43,6,12
2016-10,1,12,1,3
2016-11,1,4,1,1
2016-12,<1,3,1,1
2017-01,<1,3,0,1
2017-02,<1,3,0,1
2017-03,<1,4,1,1
2017-04,<1,6,0,2
2017-05,1,14,2,2
2017-06,1,40,2,6
2017-07,<1,61,16,14
2017-08,1,49,9,15
2017-09,1,20,3,6
2017-10,1,8,2,2
2017-11,1,4,0,1
2017-12,<1,2,0,1
2018-01,<1,3,0,1
2018-02,1,3,0,1
2018-03,1,1,0,1
2018-04,1,3,2,1
2018-05,1,27,4,3
2018-06,1,56,8,11
2018-07,1,100,11,23
2018-08,1,46,10,15
2018-09,1,66,7,16
2018-10,1,9,5,5
2018-11,1,3,0,1
2018-12,<1,3,2,<1
2019-01,1,3,0,1
