PROGRAM,SITE NAME,HOURS OF OPERATION,ADDRESS,CITY,STATE,ZIP,PHONE,LOCATION
Regional Senior Center,Northeast,Mon - Fri 8:30 a.m. to 4:30 p.m. Sat 9:00 a.m. to 4:00 p.m.,2019 W. Lawrence Avenue,Chicago,IL,60625,312-744-0784,"2019 W Lawrence Avenue
Chicago, IL 60625
(41.96872254686461, -87.68019238203728)"
Regional Senior Center,Southwest,Mon - Fri 8:30 a.m. to 4:30 p.m. Sat 9:00 a.m. to 4:00 p.m.,6117 S. Kedzie Avenue,Chicago,IL,60629,312-747-0440,"6117 S Kedzie Avenue
Chicago, IL 60629
(41.78212991978889, -87.70319764951621)"
Regional Senior Center,Northwest,Mon - Fri 8:30 a.m. to 4:30 p.m. Sat - Sun 9:00 a.m. to 4:00 p.m,3160 N. Milwaukee Avenue,Chicago,IL,60618,312-744-6681,"3160 N Milwaukee Avenue
Chicago, IL 60618
(41.938368983472756, -87.72268832479132)"
Regional Senior Center,Central West,Mon - Fri 8:30 a.m. to 4:30 p.m. ,2102 W. Ogden Avenue,Chicago,IL,60612,312-746-5300,"2102 W Ogden Avenue
Chicago, IL 60612
(41.87104299405995, -87.67859824824583)"
Regional Senior Center,Southeast,Mon - Fri 8:30 a.m. to 4:30 p.m. Sat - Sun 9:00 a.m. to 4:00 p.m,1767 E. 79th Street,Chicago,IL,60649,312-747-0189,"1767 E 79th Street
Chicago, IL 60649
(41.751512943458266, -87.5819826459126)"
Regional Senior Center,Renaissance Court,Mon - Fri 8:30 a.m. to 4:30 p.m. ,78 E. Washington Street,Chicago,IL,60602,312-744-4550,"78 E Washington Street
Chicago, IL 60602
(41.883854158623144, -87.62495524186401)"
Satellite Senior Center,Abbott Park,Mon - Fri 8:30 a.m. to 4:30 p.m. ,49 East 95th Street,Chicago,IL,60619,312-745-3493,"49 East 95th Street
Chicago, IL 60619
(41.721658859945016, -87.62236238854524)"
Satellite Senior Center,Edgewater,Mon - Fri 8:30 a.m. to 4:30 p.m. ,5917 N. Broadway Street,Chicago,IL,60660,312-744-4016,"5917 N Broadway Street
Chicago, IL 60660
(41.98948336912841, -87.66014332799551)"
Satellite Senior Center,Englewood,Mon - Fri 8:30 a.m. to 4:30 p.m. ,653-657 W. 63rd Street,Chicago,IL,60621,312-745-3328,"653 657 W 63rd Street
Chicago, IL 60621
(41.77992531402681, -87.63308324283993)"
Satellite Senior Center,West Town,Mon - Fri 8:30 a.m. to 4:30 p.m. ,1613 W. Chicago Avenue,Chicago,IL,60622,312-743-1016,"1613 W Chicago Avenue
Chicago, IL 60622
(41.895752189070784, -87.6682665907951)"
Satellite Senior Center,Kelvyn Park,Mon - Fri 8:30 a.m. to 4:30 p.m. ,2715 N. Cicero Avenue,Chicago,IL,60639,312-744-4016,"2715 N Cicero Avenue
Chicago, IL 60639
(41.92990843974359, -87.74606693954983)"
Satellite Senior Center,Auburn Gresham,Mon - Fri 8:30 a.m. to 4:30 p.m. ,1040 W. 79th Street,Chicago,IL,60620,312-745-4798,"1040 W 79th Street
Chicago, IL 60620
(41.750577216156685, -87.65029061794029)"
Satellite Senior Center,Norwood Park,Mon - Fri 8:30 a.m. to 4:30 p.m. ,5801 N. Natoma Avenue,Chicago,IL,60631,312-744-4016,"5801 N Natoma Avenue
Chicago, IL 60631
(41.98653177632919, -87.79412346217883)"
Satellite Senior Center,Garfield Ridge,Mon - Fri 8:30 a.m. to 4:30 p.m. ,5674-B S. Archer Avenue,Chicago,IL,60638,312-745-4250,"5674-B S Archer Avenue
Chicago, IL 60638
(41.797226434618594, -87.75315471018392)"
Satellite Senior Center,Chatham,Mon - Fri 8:30 a.m. to 4:30 p.m. ,8300 S. Cottage Grove Avenue,Chicago,IL,60619,312-745-0385,"8300 S Cottage Grove Avenue
Chicago, IL 60619
(41.743344084765305, -87.60553887925143)"
Satellite Senior Center,Austin,Mon - Fri 8:30 a.m. to 4:30 p.m. ,5071 W. Congress Parkway,Chicago,IL,60644,312-743-1538,"5071 W Congress Parkway
Chicago, IL 60644
(41.87393384627249, -87.75205184121931)"
Satellite Senior Center,North Center,Mon - Fri 8:30 a.m. to 4:30 p.m. ,4040 N. Oakley Avenue,Chicago,IL,60618,312-745-4029,"4040 N Oakley Avenue
Chicago, IL 60618
(41.954849869961514, -87.68608804614789)"
Satellite Senior Center,Portage Park,Mon - Fri 8:30 a.m. to 4:30 p.m. ,4100 N. Long Avenue,Chicago,IL,60641,312-744-9022,"4100 N Long Avenue
Chicago, IL 60641
(41.95497573162156, -87.76210231986396)"
Satellite Senior Center,Pilsen,Mon - Fri 8:30 a.m. to 4:30 p.m. ,2021 S. Morgan Street,Chicago,IL,60608,312-743-0493,"2021 S Morgan Street
Chicago, IL 60608
(41.855146, -87.651544)"
Satellite Senior Center,South Chicago,Mon - Fri 8:30 a.m. to 4:30 p.m.,9233 S. Burley,Chicago,IL,60617,312-745-1282,"9233 S Burley Ave
Chicago, IL 60617
(41.72769331491184, -87.54550604728695)"
Satellite Senior Center,Roseland,Mon - Fri 8:30 a.m. to 4:30 p.m.,10426 S. Michigan Ave.,Chicago,IL,60628,312-745-1500,"10426 S Michigan Ave
Chicago, IL 60628
(41.7043968, -87.6211866)"
